country,year,children_per_woman_total_fertility,government_health_spending_per_person_us,life_expectancy_years
Albania,1995,2.59,13.9,74.6
Albania,1996,2.51,17.1,74.4
Albania,1997,2.42,14.2,72.5
Albania,1998,2.33,18.6,74.5
Albania,1999,2.25,28.1,74.6
Albania,2000,2.16,27.2,74.9
Albania,2001,2.07,30.5,75.2
Albania,2002,1.98,32.5,75.3
Albania,2003,1.9,40.6,75.4
Albania,2004,1.82,63.9,75.6
Albania,2005,1.75,71.4,76
Albania,2006,1.7,75.5,76.4
Albania,2007,1.67,88.8,76.9
Albania,2008,1.65,109,77
Albania,2009,1.65,107,77.5
Albania,2010,1.65,94,77.6
Algeria,1995,3.45,46.8,72.9
Algeria,1996,3.21,48,73.3
Algeria,1997,2.99,49.7,73.2
Algeria,1998,2.8,48.7,73.5
Algeria,1999,2.64,45.5,73.9
Algeria,2000,2.51,45.9,74
Algeria,2001,2.44,52.5,74.2
Algeria,2002,2.4,54.1,74.5
Algeria,2003,2.41,62.6,74.6
Algeria,2004,2.44,63.2,75
Algeria,2005,2.5,69.3,75.3
Algeria,2006,2.58,81.7,75.5
Algeria,2007,2.66,109,75.7
Algeria,2008,2.75,148,75.9
Algeria,2009,2.83,143,76.1
Algeria,2010,2.89,139,76.3
Angola,1995,6.92,13.5,49.5
Angola,1996,6.85,8.72,50.1
Angola,1997,6.79,10.5,50.2
Angola,1998,6.73,6.65,49.3
Angola,1999,6.68,6.55,50.7
Angola,2000,6.64,12.5,51.7
Angola,2001,6.6,18.3,52.4
Angola,2002,6.57,14.3,53.5
Angola,2003,6.54,19.4,54.2
Angola,2004,6.5,19.7,54.8
Angola,2005,6.47,27.1,55.7
Angola,2006,6.42,50.9,56.4
Angola,2007,6.37,68.4,57.5
Angola,2008,6.31,126,58.4
Angola,2009,6.24,181,59.1
Angola,2010,6.16,102,59.9
Antigua and Barbuda,1995,2.21,233,74.1
Antigua and Barbuda,1996,2.25,227,74.2
Antigua and Barbuda,1997,2.28,246,74.4
Antigua and Barbuda,1998,2.3,264,74.5
Antigua and Barbuda,1999,2.32,278,74.6
Antigua and Barbuda,2000,2.32,281,74.7
Antigua and Barbuda,2001,2.31,266,74.9
Antigua and Barbuda,2002,2.29,267,75.2
Antigua and Barbuda,2003,2.27,279,75.4
Antigua and Barbuda,2004,2.25,291,75.6
Antigua and Barbuda,2005,2.22,305,75.8
Antigua and Barbuda,2006,2.2,351,76
Antigua and Barbuda,2007,2.18,397,76.3
Antigua and Barbuda,2008,2.16,409,76.4
Antigua and Barbuda,2009,2.15,403,76.6
Antigua and Barbuda,2010,2.13,490,76.6
Argentina,1995,2.76,368,73.3
Argentina,1996,2.71,357,73.3
Argentina,1997,2.66,373,73.5
Argentina,1998,2.62,383,73.5
Argentina,1999,2.59,400,73.6
Argentina,2000,2.56,382,74.2
Argentina,2001,2.54,367,74.3
Argentina,2002,2.52,121,74.2
Argentina,2003,2.5,148,74.3
