country,year,children_per_woman_total_fertility,government_health_spending_per_person_us,life_expectancy_years
Albania,1995,2.59,13.9,74.6
Algeria,1995,3.45,46.8,72.9
Angola,1995,6.92,13.5,49.5
Antigua and Barbuda,1995,2.21,233,74.1
Argentina,1995,2.76,368,73.3
Armenia,1995,1.8,7.97,69.9
Australia,1995,1.82,1030,78.2
Austria,1995,1.42,2110,76.8
Azerbaijan,1995,2.58,4.33,65
Bahamas,1995,2.51,335,70.8
Bahrain,1995,3.1,336,71
Bangladesh,1995,3.73,23.8,62.1
Barbados,1995,1.73,306,74
Belarus,1995,1.47,49.2,68.5
Belgium,1995,1.61,1640,76.9
Belize,1995,4.11,74.1,72
Benin,1995,6.36,8.11,56.7
Bhutan,1995,4.6,12.9,63.1
Bolivia,1995,4.58,25.6,63.6
Bosnia and Herzegovina,1995,1.71,30,66.1
Botswana,1995,3.95,65.3,59.9
Brazil,1995,2.5,136,69.3
Brunei,1995,2.93,375,72.3
Bulgaria,1995,1.34,60.5,71
Burkina Faso,1995,6.84,4.15,50.5
Burundi,1995,7.29,3.01,44.3
Cambodia,1995,4.69,3.21,58.7
Cameroon,1995,5.98,5.86,56.2
Canada,1995,1.64,1300,78
Cape Verde,1995,4.54,50.7,69.2
Central African Republic,1995,5.62,4.86,45.4
Chad,1995,7.43,4.14,53.2
Chile,1995,2.31,127,75.1
China,1995,1.64,10.7,70
Colombia,1995,2.66,109,72
Comoros,1995,5.25,13.5,59.9
"Congo, Dem. Rep.",1995,7.18,0.19,53.5
"Congo, Rep.",1995,5.14,14.5,52.2
Costa Rica,1995,2.82,168,76.3
Cote d'Ivoire,1995,6.06,8.56,51.7
Croatia,1995,1.52,280,73.1
Cuba,1995,1.64,101,75.1
Cyprus,1995,2.12,253,76.8
Czech Republic,1995,1.39,340,73.3
Denmark,1995,1.81,2330,75.5
Djibouti,1995,5.35,19.2,60.3
Dominican Republic,1995,3.13,22.6,73.5
Ecuador,1995,3.36,40.4,73.4
Egypt,1995,3.71,17.4,66.6
El Salvador,1995,3.58,40.7,70.8
Equatorial Guinea,1995,5.97,12.4,48.5
Eritrea,1995,5.91,4.04,52
Estonia,1995,1.43,149,67.9
Eswatini,1995,4.8,49.9,59.4
Ethiopia,1995,7,1.6,49.1
Fiji,1995,3.28,62.5,66.9
Finland,1995,1.81,1440,76.7
France,1995,1.72,2180,78
Gabon,1995,5,51.6,60.4
Gambia,1995,6.04,6.18,61.1
Georgia,1995,1.88,1.51,71.3
Germany,1995,1.31,2540,76.7
Ghana,1995,5.17,11.5,59.5
Greece,1995,1.37,554,78.2
Grenada,1995,3.12,82.9,71.7
Guatemala,1995,5.09,19.3,65.8
Guinea,1995,6.39,5.54,53.4
Guinea-Bissau,1995,6.29,6.31,50.4
Guyana,1995,3.07,32.9,66.2
Haiti,1995,4.89,9.24,55
Hungary,1995,1.56,271,70
Iceland,1995,2.13,1870,78.3
India,1995,3.65,4.1,61.8
Indonesia,1995,2.69,7.08,66
Iran,1995,3.22,30.5,72.1
Ireland,1995,1.9,897,75.6
Israel,1995,2.92,887,77.7
Italy,1995,1.24,1020,78.1
Jamaica,1995,2.77,50.8,74.2
Japan,1995,1.41,2380,80
Jordan,1995,4.61,79,71.6
Kazakhstan,1995,2.24,30.9,64.6
Kenya,1995,5.46,6.52,58.1
Kiribati,1995,4.37,66.9,58.7
Kuwait,1995,2.72,515,79
