,Population,Income
Hokkaido,5381733,265.5
Aomori,1308265,235.6
Iwate,1279594,235.9
Miyagi,"2,333,899",279.9
Akita,"1,023,119",235.8
Yamagata,"1,123,891",241.4
Fukushima,"1,914,039",263.6
Ibaraki,"2,916,976",298.9
Tochigi,"1,974,255",290.5
Gumma,"1,973,115",283.1
Saitama,"7,266,534",304.4
Chiba,"6,222,666",306
Tokyo,"13,515,271",383
Kanagawa,"9,126,214",335.1
Niigata,"2,304,264",259.9
Toyama,"1,066,328",269.6
Ishikawa,"1,154,008",274
Fukui,"786,740",269.6
Yamanashi,"834,930",284.2
Nagano,"2,098,804",276.2
Gifu,"2,031,903",275.6
Shizuoka,"3,700,305",287.6
Aichi,"7,483,128",315.2
Mie,"1,815,865",291.1
Shiga,"1,412,916",292.7
Kyoto,"2,610,353",308.8
Osaka,"8,839,469",327.1
Hyogo,"5,534,800",298.8
Nara,"1,364,316",290.2
Wakayama,"963,579",275
Tottori,"573,441",240.5
Shimane,"694,352",252.5
Okayama,"1,921,525",280.8
Hiroshima,"2,843,990",282.9
Yamaguchi,"1,404,729",267.8
Tokushima,"755,733",272.5
Kagawa,"976,263",273.2
Ehime,"1,385,262",257.5
Kochi,"728,276",257.7
Fukuoka,"5,101,556",274.7
Saga,"832,832",247.1
Nagasaki,"1,377,187",250.7
Kumamoto,"1,786,170",259
Oita,"1,166,338",253
Miyazaki,"1,104,069",238.1
Kagoshima,"1,648,177",253.3
Okinawa,"1,433,566",237.2
