Prefecture,Population,Income
Hokkaido,5381733,265.5
Aomori,1308265,235.6
Iwate,1279594,235.9
Miyagi,2333899,279.9
Akita,1023119,235.8
Yamagata,1123891,241.4
Fukushima,1914039,263.6
Ibaraki,2916976,298.9
Tochigi,1974255,290.5
Gumma,1973115,283.1
Saitama,7266534,304.4
Chiba,6222666,306
Tokyo,13515271,383
Kanagawa,9126214,335.1
Niigata,2304264,259.9
Toyama,1066328,269.6
Ishikawa,1154008,274
Fukui,786740,269.6
Yamanashi,834930,284.2
Nagano,2098804,276.2
Gifu,2031903,275.6
Shizuoka,3700305,287.6
Aichi,7483128,315.2
Mie,1815865,291.1
Shiga,1412916,292.7
Kyoto,2610353,308.8
Osaka,8839469,327.1
Hyogo,5534800,298.8
Nara,1364316,290.2
Wakayama,963579,275
Tottori,573441,240.5
Shimane,694352,252.5
Okayama,1921525,280.8
Hiroshima,2843990,282.9
Yamaguchi,1404729,267.8
Tokushima,755733,272.5
Kagawa,976263,273.2
Ehime,1385262,257.5
Kochi,728276,257.7
Fukuoka,5101556,274.7
Saga,832832,247.1
Nagasaki,1377187,250.7
Kumamoto,1786170,259
Oita,1166338,253
Miyazaki,1104069,238.1
Kagoshima,1648177,253.3
Okinawa,1433566,237.2
