Location,Data_Value,Deaths
WV,25.2,179.5
KY,23.4,181.6
AR,22.7,168.8
IN,21.1,165.7
TN,20.7,168
LA,20.5,169
MS,20.5,179.7
OH,20.5,165.2
OK,19.7,178.1
MO,19.4,165.3
AL,19.2,170.4
AK,19.1,141.5
ND,19.1,145.2
SD,19,145.2
MI,18.9,161.1
WY,18.8,140.6
MT,18,140.7
SC,18,157.3
ME,17.8,162.1
NC,17.4,154.2
KS,17.2,156.4
PA,17,156.6
IA,16.6,155.3
DE,16.5,159.4
WI,16.4,151.5
GA,16.1,152.4
NE,16,150.5
NV,15.7,146.5
NH,15.6,143.7
OR,15.6,150.6
IL,15.5,153.5
NM,15.2,136.4
MN,15.1,143.1
VA,14.9,149.3
ID,14.7,149.5
RI,14.6,151.6
CO,14.5,127.6
FL,14.5,141.7
TX,14.4,142.9
AZ,14,131.9
VT,13.7,156
HI,13.4,123.5
MA,13.4,142.8
NJ,13.1,141.3
NY,12.8,138.2
MD,12.5,149.9
CT,12.2,134.1
WA,12,145.3
CA,11.2,135
UT,9,120
