Location,Data_Value,Deaths
Alabama,19.2,10632
Alaska,19.1,957
Arizona,14,12113
Arkansas,22.7,6491
California,11.2,59962
Colorado,14.5,7812
Connecticut,12.2,6472
Delaware,16.5,2101
Florida,14.5,45281
Georgia,16.1,17397
Hawaii,13.4,2405
Idaho,14.7,3049
Illinois,15.5,23885
Indiana,21.1,13479
Iowa,16.6,6427
Kansas,17.2,5607
Kentucky,23.4,10135
Louisiana,20.5,9382
Maine,17.8,3275
Maryland,12.5,10927
Massachusetts,13.4,12635
Michigan,18.9,21018
Minnesota,15.1,9910
Mississippi,20.5,6510
Missouri,19.4,13040
Montana,18,2038
Nebraska,16,3516
Nevada,15.7,5195
New Hampshire,15.6,2711
New Jersey,13.1,16011
New Mexico,15.2,3672
New York,12.8,34491
North Carolina,17.4,19671
North Dakota,19.1,1320
Ohio,20.5,25164
Oklahoma,19.7,8424
Oregon,15.6,8159
Pennsylvania,17,28023
Rhode Island,14.6,2176
South Carolina,18,10365
South Dakota,19,1632
Tennessee,20.7,14141
Texas,14.4,40866
Utah,9,3264
Vermont,13.7,1388
Virginia,14.9,15148
Washington,12,12791
West Virginia,25.2,4682
Wisconsin,16.4,11457
Wyoming,18.8,997
