COUNT of Age,Age,,,,,,,,,,,,,
Date,0,10,20,30,40,50,60,70,80,90,-,100歳以上,不明,Grand Total
0,,,,1,1,,,,,,,,,2
6,,,,1,,,,,,,,,,1
20,,,,,,,,1,,,,,,1
21,,,,,,1,,1,,,,,,2
22,,,,,2,2,1,2,1,,,,,8
23,,,,2,,,3,,,,,,,5
25,,,1,,,1,,,1,,,,,3
26,,,,,,,,3,,,,,,3
28,,,,,,2,,1,,,,,,3
29,,,,,,,1,,,,,,,1
31,,,,1,1,1,,,,,,,,3
33,,,,,,,,2,1,,,,,3
34,,,,,,,1,,,,,,,1
35,,,1,,,,,,,,,,,1
36,,,,,,1,,1,,,,,,2
38,,,,,,1,,,,,,,,1
39,,,,1,1,1,,,1,,,,,4
40,2,,1,1,,,,2,1,1,,,,8
41,,,,2,1,1,,1,,1,,,,6
42,,,,,1,3,,2,,,,,,6
45,,,,,1,1,,1,,,,,,3
46,,,,1,1,2,1,,1,,,,,6
47,,,,,,,1,1,,,,,,2
48,,,,,,1,,1,,,,,,2
49,,,,2,3,1,3,1,,,,,,10
50,,,1,1,,,1,,,,,,,3
52,,,,,4,5,3,,,,,,,12
53,,,3,1,3,,,2,,,,,,9
54,,,1,,3,1,1,,1,,,,,7
55,,,2,,2,3,3,1,,,,,,11
56,,,1,1,3,2,,,,,,,,7
57,,,,1,1,,1,,,,,,,3
58,,,,2,6,3,1,4,,,,,,16
59,,1,3,6,2,2,3,1,,,,,,18
60,,2,4,4,9,7,8,3,1,3,,,,41
61,1,,5,6,9,6,5,11,2,1,,,,46
62,,,3,9,11,1,4,7,2,3,,,,40
63,1,1,7,8,8,6,10,17,6,,,,,64
64,,1,19,24,9,9,5,4,1,,,,,72
65,2,3,14,22,20,11,7,6,4,1,,,,90
67,,1,10,16,19,11,8,2,,,,,,67
68,2,4,20,16,19,14,9,10,3,1,,,,98
69,,1,11,23,18,14,11,10,4,,,,,92
70,,2,19,21,18,17,15,16,7,3,,,,118
71,,1,38,34,20,17,13,4,11,3,,,,141
72,,,18,21,16,11,12,7,,,,,,85
73,2,1,14,22,18,14,8,5,3,,,,,87
74,,1,32,36,20,24,18,14,10,1,,,,156
75,5,2,20,43,36,31,19,17,10,,,,,183
76,,2,54,43,30,36,19,10,4,1,,,,199
77,1,5,34,37,48,46,18,9,,,,,,198
